observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
154883,60436.23843897552,34.0,30.0,i,0.7903404462582596,0.8982243871754982,23.690036405377125,243.79758465655036,0.5646604940715825,241.45072207568253
154982,60436.285304432175,34.0,30.0,r,0.9315595705014975,1.0700238083959823,23.960990472115125,216.63346920653393,-44.258002338590224,348.78821491617623
155081,60436.33252650434,34.0,30.0,g,1.1621920772621588,1.3505986341388794,24.187339360387746,256.0759590895787,4.951255425723247,272.84536551309384
155180,60436.37827070731,34.0,30.0,r,1.1851000222422932,1.3784671803434223,23.612120470944372,266.94303481124996,11.828050527036144,275.8220535394372
155285,60436.95651285266,34.0,30.0,r,0.8571872065650645,0.9795464800061612,23.8158588061914,139.0358553363812,-13.426251898366335,162.60737221857588
155384,60437.00597462639,34.0,30.0,r,0.9802681514893457,1.1292799896464059,23.8527490391005,117.16469421839544,-10.501440893030471,219.4126943463196
155483,60437.05160487236,34.0,30.0,i,1.2747534764910398,1.4875346429331384,22.685297270810526,132.8830547703792,27.5274472137031,200.26156896425712
155582,60437.09845758859,34.0,30.0,r,0.8535640479532951,0.9751387444687288,24.10229957795412,151.34495991984974,-31.65192231890718,245.68994351286727
155681,60437.145130182354,34.0,30.0,i,0.8014006233615965,0.9116795904642292,23.713787724267647,177.22289800232977,-32.23523916354506,250.15239934000513
155780,60437.19053721179,34.0,30.0,r,0.8723392837092796,0.9979796638799022,23.975875051238525,237.38198794026238,12.681186142184416,146.37259638406346
155879,60437.236384760814,34.0,30.0,i,0.8857087622470612,1.0142442363102935,23.498415019580847,211.35356432833703,-2.440703180217945,204.84511052114598
155978,60437.28258403199,34.0,30.0,g,1.0167218102505458,1.1736275063875254,24.356990240206922,244.13359335121086,-1.5427347113276728,184.76595124711147
156077,60437.331418328184,34.0,30.0,r,0.9555249868379863,1.099178816104606,23.958070610433232,285.6904902092429,-16.760394001121952,127.75487122814518
156176,60437.38073698278,34.0,30.0,i,1.098368904810364,1.272954872032073,23.263308890933985,292.07491360112397,10.130533709287295,163.51522394030522
156278,60437.95719388585,34.0,30.0,i,0.8567060326795397,0.9789611103157417,23.279280313146288,150.49623284970068,-49.859850111004846,355.1009966100213
156353,60437.99389756649,34.0,30.0,r,0.6994445295436931,0.7876454130701862,24.391916787803382,169.28066868016265,-38.289239857836805,31.452055625857984
156428,60438.031777848555,31.0,30.0,u,0.8466397053745526,0.9667149700420348,23.693715544837058,154.81356700069432,11.238686536824638,163.64959925919587
